0, 0.1415
0.333333, 0.230552
0.666667, 0.230612
1, 0.229171
1.33333, 0.228139
1.66667, 0.226955
2, 0.226526
2.33333, 0.225802
2.66667, 0.225079
3, 0.222526
3.33333, 0.221975
3.66667, 0.220754
4, 0.21984
4.33333, 0.217915
4.66667, 0.217337
5, 0.214769
5.33333, 0.214098
5.66667, 0.212659
6, 0.2113
6.33333, 0.2091
6.66667, 0.206556
7, 0.20509
7.33333, 0.203383
7.66667, 0.201664
8, 0.199266
8.33333, 0.197193
8.66667, 0.194205
9, 0.191978
9.33333, 0.189566
9.66667, 0.186577
10, 0.183989
10.3333, 0.180442
10.6667, 0.177464
11, 0.174878
11.3333, 0.172033
11.6667, 0.167059
12, 0.164635
12.3333, 0.1601
12.6667, 0.157066
13, 0.153506
13.3333, 0.148972
13.6667, 0.145244
14, 0.140889
14.3333, 0.1372
14.6667, 0.132531
15, 0.128626
15.3333, 0.123805
15.6667, 0.120686
16, 0.116529
16.3333, 0.111912
16.6667, 0.107387
17, 0.103571
17.3333, 0.099633
17.6667, 0.095423
18, 0.091736
18.3333, 0.087614
18.6667, 0.083294
19, 0.079613
19.3333, 0.075965
19.6667, 0.072605
20, 0.068297
20.3333, 0.064915
20.6667, 0.060757
21, 0.057433
21.3333, 0.053888
21.6667, 0.0505
22, 0.047045
22.3333, 0.043827
22.6667, 0.040147
23, 0.036907
23.3333, 0.033979
23.6667, 0.030972
24, 0.027705
24.3333, 0.024691
24.6667, 0.022345
25, 0.019605
25.3333, 0.017122
25.6667, 0.014881
26, 0.012905
26.3333, 0.011048
26.6667, 0.009182
27, 0.007748
27.3333, 0.006439
27.6667, 0.005212
28, 0.004178
28.3333, 0.003293
28.6667, 0.0025
29, 0.001905
29.3333, 0.001423
29.6667, 0.001019
30, 0.000706
30.3333, 0.000504
30.6667, 0.000338
31, 0.00019
31.3333, 0.000161
31.6667, 9.9e-05
32, 4.7e-05
32.3333, 3.5e-05
32.6667, 2.2e-05
33, 1e-05
33.3333, 1e-06
33.6667, 2e-06
34, 0
34.3333, 0
34.6667, 0
35, 0
